Global frequency set at 1000000000000 ticks per second
      0: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7ffffffffffffed0.
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 22.1.0.0
gem5 compiled Feb 22 2023 20:08:12
gem5 started Mar 15 2023 10:59:34
gem5 executing on rp09, pid 843937
command line: build/RISCV/gem5.opt --debug-flags=Registers configs/tutorial/two_level.py

64
Beginning simulation!
  79000: system.cpu.[tid:0]: Setting integer register integer[1] (1) to 0x102a8.
 132000: system.cpu.[tid:0]: Setting integer register integer[3] (3) to 0x7c2d0.
 138000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c2d0.
 138000: system.cpu.[tid:0]: Setting integer register integer[3] (3) to 0x7c0f0.
 140000: system.cpu.[tid:0]: Reading integer reg integer[1] (1) as 0x102a8.
 142000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0.
 142000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0.
 146000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x102aa.
 150000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x102aa.
 150000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x10392.
 152000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffed0.
 219000: system.cpu.[tid:0]: Setting integer register integer[11] (11) to 0x1.
 221000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffed0.
 221000: system.cpu.[tid:0]: Setting integer register integer[12] (12) to 0x7ffffffffffffed8.
 225000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffed0.
 225000: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7ffffffffffffed0.
 229000: system.cpu.[tid:0]: Setting integer register integer[13] (13) to 0x102ba.
 233000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0x102ba.
 233000: system.cpu.[tid:0]: Setting integer register integer[13] (13) to 0x1089a.
 237000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x102c2.
 241000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x102c2.
 241000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x1092a.
 243000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffed0.
 243000: system.cpu.[tid:0]: Setting integer register integer[16] (16) to 0x7ffffffffffffed0.
 298000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffed0.
 298000: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7ffffffffffffd90.
 304000: system.cpu.[tid:0]: Setting integer register integer[17] (17) to 0.
 306000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffd90.
 306000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0.
 310000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffd90.
 310000: system.cpu.[tid:0]: Reading integer reg integer[9] (9) as 0.
 365000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffd90.
 365000: system.cpu.[tid:0]: Reading integer reg integer[18] (18) as 0.
 369000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffd90.
 369000: system.cpu.[tid:0]: Reading integer reg integer[1] (1) as 0x102a8.
 424000: system.cpu.[tid:0]: Reading integer reg integer[17] (17) as 0.
 424000: system.cpu.[tid:0]: Setting integer register integer[6] (6) to 0.
 430000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffd90.
 430000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x10392.
 485000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffd90.
 485000: system.cpu.[tid:0]: Reading integer reg integer[11] (11) as 0x1.
 489000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffd90.
 489000: system.cpu.[tid:0]: Reading integer reg integer[12] (12) as 0x7ffffffffffffed8.
 493000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
 493000: system.cpu.[tid:0]: Setting integer register integer[18] (18) to 0.
 495000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0x1089a.
 495000: system.cpu.[tid:0]: Setting integer register integer[8] (8) to 0x1089a.
 497000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x1092a.
 497000: system.cpu.[tid:0]: Setting integer register integer[9] (9) to 0x1092a.
 499000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0.
 503000: system.cpu.[tid:0]: Reading integer reg integer[6] (6) as 0.
 505000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffd90.
 507000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x1.
 509000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x1.
 509000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x2.
 511000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffd90.
 513000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x7ffffffffffffed8.
 515000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x2.
 515000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x10.
 517000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x10.
 517000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x7ffffffffffffed8.
 517000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x7ffffffffffffee8.
 521000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
 521000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
 592000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
 592000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7ffffffffffffee8.
 649000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x7a000.
 653000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a000.
 653000: system.cpu.[tid:0]: Reading integer reg integer[16] (16) as 0x7ffffffffffffed0.
 722000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7ffffffffffffee8.
 722000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x7ffffffffffffef0.
 724000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7ffffffffffffef0.
 726000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0.
 779000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
 787000: system.cpu.[tid:0]: Setting integer register integer[1] (1) to 0x10406.
 854000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7ffffffffffffef0.
 856000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x9.
 860000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x7d000.
 915000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x7d000.
 915000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7ffffffffffffef0.
 986000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x9.
 990000: system.cpu.[tid:0]: Setting integer register integer[30] (30) to 0x7d000.
 994000: system.cpu.[tid:0]: Reading integer reg integer[30] (30) as 0x7d000.
1047000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0.
1049000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffd90.
1049000: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7ffffffffffffcb0.
1051000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1051000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0.
1108000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
1110000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0.
1114000: system.cpu.[tid:0]: Setting integer register integer[11] (11) to 0x7a000.
1118000: system.cpu.[tid:0]: Reading integer reg integer[11] (11) as 0x7a000.
1118000: system.cpu.[tid:0]: Setting integer register integer[11] (11) to 0x79fa0.
1120000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1120000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0.
1124000: system.cpu.[tid:0]: Reading integer reg integer[11] (11) as 0x79fa0.
1126000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0.
1130000: system.cpu.[tid:0]: Setting integer register integer[28] (28) to 0x7a000.
1134000: system.cpu.[tid:0]: Setting integer register integer[6] (6) to 0x7d000.
1136000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1136000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0.
1191000: system.cpu.[tid:0]: Reading integer reg integer[28] (28) as 0x7a000.
1193000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x1.
1195000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1195000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x1.
1201000: system.cpu.[tid:0]: Reading integer reg integer[6] (6) as 0x7d000.
1254000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0.
1256000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1256000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x1089a.
1260000: system.cpu.[tid:0]: Setting integer register integer[8] (8) to 0x7d000.
1262000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1262000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0.
1319000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
1321000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0.
1323000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1323000: system.cpu.[tid:0]: Reading integer reg integer[20] (20) as 0.
1378000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1378000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0.
1384000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
1386000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0.
1388000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1388000: system.cpu.[tid:0]: Reading integer reg integer[9] (9) as 0x1092a.
1392000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1392000: system.cpu.[tid:0]: Reading integer reg integer[18] (18) as 0.
1396000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1396000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0.
1451000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x7d000.
1453000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0.
1455000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1455000: system.cpu.[tid:0]: Reading integer reg integer[19] (19) as 0.
1461000: system.cpu.[tid:0]: Setting integer register integer[9] (9) to 0x7d000.
1463000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1463000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0.
1467000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
1520000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x1000.
1522000: system.cpu.[tid:0]: Setting integer register integer[19] (19) to 0x7d000.
1524000: system.cpu.[tid:0]: Setting integer register integer[18] (18) to 0x7d000.
1526000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1526000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x1000.
1532000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x5c000.
1534000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1534000: system.cpu.[tid:0]: Reading integer reg integer[21] (21) as 0.
1538000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1538000: system.cpu.[tid:0]: Reading integer reg integer[22] (22) as 0.
1542000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1542000: system.cpu.[tid:0]: Reading integer reg integer[23] (23) as 0.
1546000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1546000: system.cpu.[tid:0]: Reading integer reg integer[25] (25) as 0.
1550000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1550000: system.cpu.[tid:0]: Reading integer reg integer[26] (26) as 0.
1554000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1554000: system.cpu.[tid:0]: Reading integer reg integer[27] (27) as 0.
1558000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1558000: system.cpu.[tid:0]: Reading integer reg integer[24] (24) as 0.
1562000: system.cpu.[tid:0]: Reading integer reg integer[19] (19) as 0x7d000.
1564000: system.cpu.[tid:0]: Setting integer register integer[26] (26) to 0.
1617000: system.cpu.[tid:0]: Reading integer reg integer[9] (9) as 0x7d000.
1619000: system.cpu.[tid:0]: Setting integer register integer[22] (22) to 0.
